,Stellar Mass Ratio,Sub1 Mass,Sub1 Stellar Mass,Sub2 Mass,Sub2 Stellar Mass,Physical Separation,Average Distance,Angular Separation [rad],Angular Separation [deg],Projected Separation,Relative LOS Velocity,Relative Velocity
0,0.6190630247620743,17.828901925550156,0.35272206683624274,11.841152000821443,0.21835718959597497,243.88509464599713,55439.43329108423,0.0038292828030225944,0.21940174317522043,212.29352792312702,25.148629372273746,146.54612185218014
1,0.7226321232709011,15.855614048631486,0.44433693058481694,17.026766655119182,0.32109213959618127,262.65535843970105,62551.233349641625,0.004199039526623437,0.24058724288413397,262.65548720129954,-68.12449017236784,115.81662795317717
2,0.9152241618465234,19.00470605247099,0.4549871653513179,3.435606093472846,0.4164152470595855,88.71612403404573,69571.55162793919,0.0010364203932839548,0.059382514336459545,72.10538135404029,-12.548875142034518,49.25765673806466
3,0.4189744486973434,17.350473902307854,0.33372135089115657,6.1007956681365565,0.13982071900815501,178.23926240703065,68115.8179456649,0.0012845780431395848,0.07360090032707241,87.50009615578428,60.916264256075166,97.32970207989007
4,0.7300723860691795,14.980514386708947,0.26126508419226574,12.38986669404689,0.1907424234128125,372.3122092378957,57753.206225684116,0.004121012504421753,0.23611662382400395,238.0020218538731,-73.50152638806583,154.98515664510956
5,0.4913377786327323,18.430869770078207,0.3893254132835163,8.099329024597294,0.19129028372799334,157.36272664682556,71530.04139306348,0.0021794734170005325,0.12487462835508664,155.8978854440701,37.24655923048351,512.990394268173
6,0.8708031154521503,9.768152082075508,0.16385767966585696,11.653524251824676,0.1426877779437887,480.48873965472075,57321.560336730356,0.008048513422578493,0.46114585046814094,461.3558382735632,87.25799361863233,105.47310771118275
7,0.27167414063798095,18.325161715682924,0.4312716790765047,10.664673516065418,0.11716536279460853,360.38027694485373,38057.86196686189,0.006361550602976359,0.36449000070944937,242.10783123889595,49.17764494849974,54.063247298363756
8,0.45320054682030114,17.348235428491666,0.33363342631611365,10.958145176516123,0.15120285124399335,360.97321862784264,51187.02999190903,0.0068640332527043725,0.393280135817415,351.3508554626282,23.76418468349175,55.51516099978375
9,0.5907181682220761,20.171719594166486,0.4589373303448187,12.99589054050226,0.27110261911002115,296.96453085105435,52071.11256384711,0.0011075517875378485,0.06345804301808877,57.67145969449893,-2.213210280219112,78.562638823281
10,0.26458208911093756,15.891688673201303,0.27900389409554427,7.8997789388002815,0.07381943316988587,448.95715778574856,52971.17436738145,0.0013273771685459032,0.07605310957970558,70.31273777017078,-66.19184895579741,83.57959125334617
11,0.8693302382809484,15.929371056952306,0.29843978387765024,14.732466146662272,0.2594427284308724,312.756066873804,67608.82896351969,0.0045837289005473845,0.2626283204335062,309.90108585232804,-0.4008376844864472,41.65118863561613
12,0.3945113766953085,16.78988966647594,0.3119698852963179,6.717988654227605,0.12307566893572786,166.84406641419133,54002.697242056354,0.0017976012164618253,0.10299496295084531,97.0753403950712,-31.92497290059062,87.26077932381332
13,0.44751999162990086,19.86176980995379,0.44318185020927514,11.31806360925585,0.19833273789617878,214.78666716668118,36584.03922645916,0.005731706051607731,0.3284025661667162,209.6895330948478,-179.36219519738376,179.8400201682297
14,0.6983862342598368,20.60574558867372,0.4700812082095891,9.155445194610424,0.3282982447978092,171.17441055023275,56560.20690836747,0.0020293357942902292,0.11627237622765876,114.77969180212757,35.80026247896923,79.21905347172601
15,0.5770227567713974,19.337236265323842,0.41883619949268525,8.829170741758974,0.2416780184669242,163.35309985723583,46380.17504755887,0.0022985305655942208,0.13169610049036687,106.60629692000747,-3.7507856916879234,88.1069214229834
16,0.7852081521552673,11.72792394146442,0.19685846358256137,4.186962148521656,0.154574870425788,94.72643833461215,59626.376093632534,0.0014781769751333663,0.08469330204855632,88.13835230082843,-86.26991010896548,180.82415486999074
17,0.6102907414036775,8.101060674153214,0.2042371644208783,10.964533977885848,0.12464405049660258,235.48995346729436,20374.328674727836,0.009971159805474994,0.5713053737042041,203.15737037477652,220.37449707613882,1420.9981057678724
18,0.43069915892286487,18.33278519726447,0.37314969219377114,11.267727513140128,0.16071525858018315,272.0691406243677,29072.254549311612,0.005539483777661794,0.3173890411412065,161.04569427525433,4.313888248997939,111.86792366102442
19,0.8113508860168925,10.176126605682327,0.1627616271304441,11.253189400018828,0.1320567903818369,268.20363441835724,34914.380920998236,0.006994944469633122,0.4007807960383539,244.22515154756624,108.71415429074887,134.84634686789562
20,0.5501789932677992,17.458618936687927,0.337981852068979,11.17587617480512,0.1859505151140971,194.76846923896042,70419.72397732575,0.002557859031341436,0.14655452708528524,180.1238251671388,65.38357342319043,88.15482174318521
21,0.2743429949595556,20.016538452743113,0.4719910329079975,6.425308202760988,0.1294874335620342,364.87088140595847,51469.82599556357,0.006579796556460649,0.37699457273990766,338.66220567708876,316.36444977642907,514.5554496404434
22,0.25521728262571597,14.530588188880941,0.2304225684718821,0.5395563084501273,0.05880782178103173,199.14932374402974,68201.31364667312,0.0029083470053837845,0.16663600876800258,198.3532261214995,149.7954409975402,184.74591383526527
23,0.5068922359052351,19.666598826550015,0.4291393819420007,13.031131720732967,0.21752742082757143,311.082986619462,65522.87971440475,0.004660267311893556,0.26701364837427805,305.3546871577914,-42.54585151728145,85.34432542236111
24,0.3533415288887082,19.47303137879193,0.42085060924741174,11.39408443260587,0.14870399770522477,308.085025073997,60731.32176823812,0.0048422925784776276,0.27744292791428904,294.0794033058902,-12.417917790789346,90.0523255026952
